,adress,club,competition,date,id,jury,league,stadium,weapon
157,"Grüntalstr. 17, 52379 Langerwehe-Pier ",Sp.Sch.St.Seb.Pier2000 ,7,2017-11-18,LP1.Nord7B,Martin Viehöver ,1.Nord,B,Luftpistole
158,"Walther Arena, Kirschweg 23, 12524 Berlin (Altglie ",PSV Olympia Berlin ,8,2017-12-02,LP1.Nord8A,Michael Naumann ,1.Nord,A,Luftpistole
159,"Sporthalle ""Zum Michael"" Straße, 46348 Raesfeld ",Spsch Raesfeld ,8,2017-12-02,LP1.Nord8B,Ewald Elpers ,1.Nord,B,Luftpistole
160,"Walther Arena, Kirschweg 23, 12524 Berlin (Altglie ",PSV Olympia Berlin ,9,2017-12-03,LP1.Nord9A,Michael Naumann ,1.Nord,A,Luftpistole
161,"Sporthalle ""Zum Michael"" Straße, 46348 Raesfeld ",Spsch Raesfeld ,9,2017-12-03,LP1.Nord9B,Ewald Elpers ,1.Nord,B,Luftpistole
162,Große Schwarzbachhalle in der Bleichstr. 7-9 65830 Kriftel ,SV 1935 Kriftel ,10,2018-01-06,LP1.Nord10A,Frank Sczeburek ,1.Nord,A,Luftpistole
163,"Sporthalle  Kantallee, 29339 Wathlingen ",Freischütz Wathlingen ,10,2018-01-06,LP1.Nord10B,Werner Bösche ,1.Nord,B,Luftpistole
164,Große Schwarzbachhalle in der Bleichstr. 7-9 65830 Kriftel ,SV 1935 Kriftel ,11,2018-01-07,LP1.Nord11A,Frank Sczeburek ,1.Nord,A,Luftpistole
165,"Sporthalle  Kantallee, 29339 Wathlingen ",Freischütz Wathlingen ,11,2018-01-07,LP1.Nord11B,Werner Bösche ,1.Nord,B,Luftpistole
166,"Dreifach Turnhalle, Rennweg 66, 93309 Kelheim ",SV Kelheim-Gmünd ,1,2017-10-07,LP1.Süd1A,Rudolf Diekelmann ,1.Süd,A,Luftpistole
167, ,,1,2017-10-07,LP1.Süd1B,1,1.Süd,B,Luftpistole
168,"Dreifach Turnhalle, Rennweg 66, 93309 Kelheim ",SV Kelheim-Gmünd ,2,2017-10-08,LP1.Süd2A,Rudolf Diekelmann ,1.Süd,A,Luftpistole
169, ,,2,2017-10-08,LP1.Süd2B,1,1.Süd,B,Luftpistole
170,"Sportzentrum Greuther Fürth, Kronacher Str. 140, 90765 Fürth ",SSG Dynamit Fürth ,3,2017-10-21,LP1.Süd3A,Rudolf Diekelmann ,1.Süd,A,Luftpistole
171,"Merzweckhalle Weil am Rhein-Ötlingen, Zur Inmatt  (Strasse) ",ESV Weil am Rhein ,3,2017-10-21,LP1.Süd3B,Richard Fellner ,1.Süd,B,Luftpistole
172,"Sportzentrum Greuther Fürth, Kronacher Str. 140, 90765 Fürth ",SSG Dynamit Fürth ,4,2017-10-22,LP1.Süd4A,Rudolf Diekelmann ,1.Süd,A,Luftpistole
173,"Merzweckhalle Weil am Rhein-Ötlingen, Zur Inmatt  (Strasse) ",ESV Weil am Rhein ,4,2017-10-22,LP1.Süd4B,Richard Fellner ,1.Süd,B,Luftpistole
174,"Bolberghalle in 72820 Sonnenbühl-Willmandingen, Egelsbergstr.11 ",SV Willmandingen ,5,2017-11-04,LP1.Süd5A,Walter Johnen ,1.Süd,A,Luftpistole
175,"Bogenhalle, 88499 Altheim-Waldhausen, Gurgelbergweg ",SV Altheim Waldhausen ,5,2017-11-04,LP1.Süd5B,Dr. Walter Horlacher ,1.Süd,B,Luftpistole
176,"Bolberghalle in 72820 Sonnenbühl-Willmandingen, Egelsbergstr.11 ",SV Willmandingen ,6,2017-11-05,LP1.Süd6A,Walter Johnen ,1.Süd,A,Luftpistole
177,"Bogenhalle, 88499 Altheim-Waldhausen, Gurgelbergweg ",SV Altheim Waldhausen ,6,2017-11-05,LP1.Süd6B,Dr. Walter Horlacher ,1.Süd,B,Luftpistole
178,"Buchenweg 9, 86937 Scheuring ",SG Edelweiß Scheuring ,7,2017-11-18,LP1.Süd7A,Susanne Müller ,1.Süd,A,Luftpistole
179,"Schlossberghalle, Münchener Str. 13, 86971 Peiting ",SV Peiting ,7,2017-11-18,LP1.Süd7B,Thomas Wollny ,1.Süd,B,Luftpistole
180,"Turnhalle der Grundschule in 89331 Burgau, Remsharter Str. 2  ",SV Waldkirch ,8,2017-12-02,LP1.Süd8A,Gerhard Furnier ,1.Süd,A,Luftpistole
181,"Mehrzweckhalle, Hauptstr. 109, 74638 Waldenburg ",Sgi Waldenburg ,8,2017-12-02,LP1.Süd8B,Franz Möndel ,1.Süd,B,Luftpistole
182,"Turnhalle der Grundschule in 89331 Burgau, Remsharter Str. 2  ",SV Waldkirch ,9,2017-12-03,LP1.Süd9A,Gerhard Furnier ,1.Süd,A,Luftpistole
183,"Mehrzweckhalle, Hauptstr. 109, 74638 Waldenburg ",Sgi Waldenburg ,9,2017-12-03,LP1.Süd9B,Franz Möndel ,1.Süd,B,Luftpistole
184,"Lußhardthallae, Pfarrer-Graf-Straße, 76707 Hambrücken ",KKS Hambrücken ,10,2018-01-06,LP1.Süd10A,Franz Möndel ,1.Süd,A,Luftpistole
185,"KSV-Sporthalle, Am Kugelberg, 71642 Ludwigsburg ",SGi Ludwigsburg ,10,2018-01-06,LP1.Süd10B,Dr. Walter Horlacher ,1.Süd,B,Luftpistole
186,"Lußhardthallae, Pfarrer-Graf-Straße, 76707 Hambrücken ",KKS Hambrücken ,11,2018-01-07,LP1.Süd11A,Franz Möndel ,1.Süd,A,Luftpistole
187,"KSV-Sporthalle, Am Kugelberg, 71642 Ludwigsburg ",SGi Ludwigsburg ,11,2018-01-07,LP1.Süd11B,Dr. Walter Horlacher ,1.Süd,B,Luftpistole
